,is_male,age,age_squared,age_centered,age_bucket_young,age_bucket_mid,age_bucket_old,"industry_Business, Controversial & Special Roles","industry_Fashion, Beauty & Modeling","industry_Media, News & Communication",industry_Music & Dance,industry_Performing Arts & Entertainment,industry_Public Service & Specialized Professions,industry_Sports & Physical Performance,is_international,log_us_state_pop,pro_pro_id,pro_is_male,same_sex_pair,pro_prev_wins,pro_avg_rank,z_score,score_trend,is_top_score,perfect_score,judge_score_stddev,times_in_bottom,cumulative_avg_score,teflon_factor,weeks_survived,season_era,rule_method,judge_save_active
pro_avg_rank,-0.102 ,0.059 ,0.055 ,0.059 ,-0.019 ,-0.027 ,0.058 ,0.037 ,-0.024 ,0.008 ,-0.007 ,0.040 ,-0.012 ,-0.040 ,-0.081 ,0.095 ,0.019 ,0.126 ,0.082 ,-0.496 ,1.000 ,-0.026 ,-0.007 ,-0.047 ,-0.018 ,0.019 ,-0.025 ,-0.022 ,-0.019 ,-0.036 ,0.255 ,-0.182 ,0.188 
z_score,-0.151 ,-0.420 ,-0.413 ,-0.420 ,0.226 ,0.048 ,-0.320 ,-0.061 ,0.001 ,0.097 ,0.069 ,-0.069 ,-0.083 ,0.014 ,0.043 ,-0.049 ,0.042 ,0.183 ,0.078 ,0.131 ,-0.026 ,1.000 ,0.585 ,0.585 ,0.283 ,-0.001 ,-0.398 ,0.146 ,-0.245 ,0.000 ,0.000 ,0.000 ,0.000 
score_trend,-0.026 ,-0.103 ,-0.102 ,-0.103 ,0.053 ,0.013 ,-0.078 ,-0.017 ,-0.009 ,0.011 ,0.007 ,0.000 ,-0.013 ,0.000 ,0.012 ,-0.013 ,0.017 ,0.030 ,0.006 ,0.028 ,-0.007 ,0.585 ,1.000 ,0.366 ,0.176 ,-0.031 ,0.072 ,-0.074 ,0.219 ,-0.043 ,0.014 ,0.001 ,0.001 
is_top_score,-0.057 ,-0.224 ,-0.212 ,-0.224 ,0.126 ,0.012 ,-0.159 ,-0.039 ,-0.006 ,0.045 ,0.058 ,-0.028 ,-0.023 ,-0.019 ,0.015 ,-0.017 ,0.037 ,0.083 ,0.037 ,0.085 ,-0.047 ,0.585 ,0.366 ,1.000 ,0.408 ,-0.109 ,-0.126 ,0.159 ,-0.088 ,0.149 ,-0.007 ,-0.016 ,0.004 
perfect_score,-0.056 ,-0.148 ,-0.136 ,-0.148 ,0.106 ,-0.015 ,-0.098 ,-0.023 ,-0.027 ,0.080 ,0.006 ,-0.003 ,-0.008 ,-0.020 ,0.029 ,-0.028 ,0.058 ,0.051 ,0.040 ,0.075 ,-0.018 ,0.283 ,0.176 ,0.408 ,1.000 ,-0.148 ,-0.057 ,0.207 ,-0.032 ,0.296 ,0.063 ,-0.041 ,0.050 
judge_score_stddev,0.055 ,-0.022 ,-0.018 ,-0.022 ,0.002 ,0.009 ,-0.014 ,0.011 ,0.008 ,-0.035 ,0.058 ,-0.037 ,0.018 ,-0.001 ,-0.012 ,0.003 ,-0.029 ,-0.052 ,-0.002 ,-0.020 ,0.019 ,-0.001 ,-0.031 ,-0.109 ,-0.148 ,1.000 ,-0.030 ,-0.060 ,-0.033 ,-0.137 ,-0.089 ,0.040 ,-0.077 
times_in_bottom,0.106 ,0.204 ,0.210 ,0.204 ,-0.072 ,-0.070 ,0.176 ,0.022 ,-0.055 ,-0.071 ,-0.064 ,0.079 ,0.117 ,-0.023 ,-0.039 ,0.032 ,-0.025 ,-0.125 ,-0.061 ,-0.053 ,-0.025 ,-0.398 ,0.072 ,-0.126 ,-0.057 ,-0.030 ,1.000 ,0.063 ,0.569 ,0.306 ,-0.022 ,-0.011 ,0.001 
cumulative_avg_score,-0.045 ,-0.203 ,-0.193 ,-0.203 ,0.125 ,-0.001 ,-0.138 ,-0.036 ,-0.057 ,0.073 ,0.013 ,-0.024 ,-0.027 ,0.022 ,0.003 ,-0.009 ,0.055 ,0.056 ,0.010 ,0.112 ,-0.022 ,0.146 ,-0.074 ,0.159 ,0.207 ,-0.060 ,0.063 ,1.000 ,0.044 ,0.679 ,0.063 ,0.032 ,-0.011 
teflon_factor,0.082 ,0.136 ,0.142 ,0.136 ,-0.042 ,-0.049 ,0.114 ,0.016 ,-0.046 ,-0.055 ,-0.030 ,0.041 ,0.096 ,-0.011 ,-0.033 ,0.027 ,-0.009 ,-0.099 ,-0.041 ,-0.051 ,-0.019 ,-0.245 ,0.219 ,-0.088 ,-0.032 ,-0.033 ,0.569 ,0.044 ,1.000 ,0.171 ,-0.032 ,-0.003 ,-0.013 
weeks_survived,0.003 ,-0.177 ,-0.173 ,-0.177 ,0.108 ,0.009 ,-0.133 ,-0.045 ,-0.070 ,0.025 ,0.003 ,0.008 ,0.015 ,0.008 ,0.003 ,-0.005 ,0.033 ,0.003 ,0.038 ,0.090 ,-0.036 ,0.000 ,-0.043 ,0.149 ,0.296 ,-0.137 ,0.306 ,0.679 ,0.171 ,1.000 ,0.048 ,-0.018 ,0.045 
season_era,-0.026 ,-0.015 ,-0.006 ,-0.015 ,0.077 ,-0.073 ,0.013 ,0.000 ,-0.066 ,0.149 ,-0.060 ,0.010 ,0.074 ,-0.021 ,-0.081 ,0.100 ,0.091 ,0.021 ,0.106 ,0.124 ,0.255 ,0.000 ,0.014 ,-0.007 ,0.063 ,-0.089 ,-0.022 ,0.063 ,-0.032 ,0.048 ,1.000 ,-0.459 ,0.570 
rule_method,0.040 ,-0.059 ,-0.042 ,-0.059 ,0.018 ,-0.022 ,0.010 ,-0.004 ,0.021 ,-0.142 ,0.027 ,-0.044 ,-0.059 ,0.099 ,0.090 ,-0.100 ,0.123 ,-0.024 ,-0.149 ,0.054 ,-0.182 ,0.000 ,0.001 ,-0.016 ,-0.041 ,0.040 ,-0.011 ,0.032 ,-0.003 ,-0.018 ,-0.459 ,1.000 ,-0.931 
judge_save_active,-0.042 ,0.048 ,0.034 ,0.048 ,0.012 ,-0.011 ,0.001 ,0.009 ,-0.032 ,0.146 ,-0.039 ,0.057 ,0.069 ,-0.105 ,-0.084 ,0.101 ,-0.091 ,0.028 ,0.170 ,-0.011 ,0.188 ,0.000 ,0.001 ,0.004 ,0.050 ,-0.077 ,0.001 ,-0.011 ,-0.013 ,0.045 ,0.570 ,-0.931 ,1.000 
